factura,cliente,fecha,subtotal,iva,total
F25-0001,Logística Global Factura N°: F25-0001,2025-05-04,9946.41,1889.82,11836.23
F25-0002,Inversiones ABC Factura N°: F25-0002,2025-05-02,12750.0,2422.5,15172.5
F25-0003,Tienda Don Pepe Factura N°: F25-0003,2025-07-20,25.98,4.94,30.92
F25-0004,Tienda Don Pepe Factura N°: F25-0004,2025-02-14,281.94,53.57,335.51
F25-0005,Tech Solutions Factura N°: F25-0005,2025-09-11,8988.0,1707.72,10695.72
F25-0006,Inversiones ABC Factura N°: F25-0006,2025-10-16,321.0,60.99,381.99
F25-0007,Inversiones ABC Factura N°: F25-0007,2025-08-19,1105.5,210.05,1315.55
F25-0008,Inversiones ABC Factura N°: F25-0008,2025-07-27,360.0,68.4,428.4
F25-0009,Tienda Don Pepe Factura N°: F25-0009,2025-08-15,2634.9,500.63,3135.53
F25-0010,Inversiones ABC Factura N°: F25-0010,2025-05-06,450.0,85.5,535.5
F25-0011,Servicios Express Factura N°: F25-0011,2025-02-02,1170.93,222.48,1393.41
F25-0012,Inversiones ABC Factura N°: F25-0012,2025-07-11,1851.0,351.69,2202.69
F25-0013,Tienda Don Pepe Factura N°: F25-0013,2025-05-12,4364.97,829.34,5194.31
F25-0014,Inversiones ABC Factura N°: F25-0014,2025-02-24,514.95,97.84,612.79
F25-0015,Tienda Don Pepe Factura N°: F25-0015,2025-01-24,3438.0,653.22,4091.22
F25-0016,Logística Global Factura N°: F25-0016,2025-09-19,449.97,85.49,535.46
F25-0017,Servicios Express Factura N°: F25-0017,2025-09-08,675.0,128.25,803.25
F25-0018,Servicios Express Factura N°: F25-0018,2025-06-20,2224.47,422.65,2647.12
F25-0019,Tech Solutions Factura N°: F25-0019,2025-08-20,675.0,128.25,803.25
F25-0020,Tienda Don Pepe Factura N°: F25-0020,2025-08-16,2875.5,546.35,3421.85
F25-0021,Logística Global Factura N°: F25-0021,2025-03-15,634.5,120.56,755.06
F25-0022,Tienda Don Pepe Factura N°: F25-0022,2025-10-21,4800.0,912.0,5712.0
F25-0023,Inversiones ABC Factura N°: F25-0023,2025-02-19,9933.0,1887.27,11820.27
F25-0024,Logística Global Factura N°: F25-0024,2025-02-10,1500.0,285.0,1785.0
F25-0025,Tech Solutions Factura N°: F25-0025,2025-05-05,6135.0,1165.65,7300.65
F25-0026,Logística Global Factura N°: F25-0026,2025-02-27,11668.92,2217.09,13886.01
F25-0027,Servicios Express Factura N°: F25-0027,2025-05-15,3555.0,675.45,4230.45
F25-0028,Logística Global Factura N°: F25-0028,2025-03-03,1657.5,314.93,1972.42
F25-0029,Tienda Don Pepe Factura N°: F25-0029,2025-08-05,6000.0,1140.0,7140.0
F25-0030,Logística Global Factura N°: F25-0030,2025-09-03,14325.0,2721.75,17046.75
F25-0031,Inversiones ABC Factura N°: F25-0031,2025-04-28,565.98,107.54,673.52
F25-0032,Inversiones ABC Factura N°: F25-0032,2025-11-16,656.91,124.81,781.72
F25-0033,Servicios Express Factura N°: F25-0033,2025-07-07,743.97,141.35,885.32
F25-0034,Tech Solutions Factura N°: F25-0034,2025-08-31,103.92,19.74,123.66
F25-0035,Servicios Express Factura N°: F25-0035,2025-03-28,152.94,29.06,182.0
F25-0036,Inversiones ABC Factura N°: F25-0036,2025-08-15,16275.0,3092.25,19367.25
F25-0037,Servicios Express Factura N°: F25-0037,2025-03-28,280.98,53.39,334.37
F25-0038,Inversiones ABC Factura N°: F25-0038,2025-08-13,7404.0,1406.76,8810.76
F25-0039,Tech Solutions Factura N°: F25-0039,2025-09-18,907.86,172.49,1080.35
F25-0040,Logística Global Factura N°: F25-0040,2025-08-15,2455.98,466.64,2922.62
F25-0041,Servicios Express Factura N°: F25-0041,2025-04-18,2169.9,412.28,2582.18
F25-0042,Logística Global Factura N°: F25-0042,2025-07-21,720.0,136.8,856.8
F25-0043,Inversiones ABC Factura N°: F25-0043,2025-09-19,1942.89,369.15,2312.04
F25-0044,Tech Solutions Factura N°: F25-0044,2025-10-12,10800.0,2052.0,12852.0
F25-0045,Inversiones ABC Factura N°: F25-0045,2025-11-18,5064.9,962.33,6027.23
F25-0046,Logística Global Factura N°: F25-0046,2025-10-26,1311.48,249.18,1560.66
F25-0047,Servicios Express Factura N°: F25-0047,2025-05-31,11168.43,2122.0,13290.43
F25-0048,Logística Global Factura N°: F25-0048,2025-03-20,225.0,42.75,267.75
F25-0049,Tech Solutions Factura N°: F25-0049,2025-10-20,5715.93,1086.03,6801.96
F25-0050,Logística Global Factura N°: F25-0050,2025-03-19,77.94,14.81,92.75
F25-0051,Inversiones ABC Factura N°: F25-0051,2025-12-25,9654.0,1834.26,11488.26
F25-0052,Tech Solutions Factura N°: F25-0052,2025-09-04,270.93,51.48,322.41
F25-0053,Tienda Don Pepe Factura N°: F25-0053,2025-08-25,1612.5,306.38,1918.88
F25-0054,Logística Global Factura N°: F25-0054,2025-08-02,3075.0,584.25,3659.25
F25-0055,Tech Solutions Factura N°: F25-0055,2025-12-20,6242.94,1186.16,7429.1
F25-0056,Inversiones ABC Factura N°: F25-0056,2025-11-26,526.71,100.07,626.78
F25-0057,Tienda Don Pepe Factura N°: F25-0057,2025-08-06,11313.0,2149.47,13462.47
F25-0058,Servicios Express Factura N°: F25-0058,2025-05-18,525.0,99.75,624.75
F25-0059,Tienda Don Pepe Factura N°: F25-0059,2025-02-07,269.91,51.28,321.19
F25-0060,Tech Solutions Factura N°: F25-0060,2025-08-02,1215.0,230.85,1445.85
F25-0061,Tienda Don Pepe Factura N°: F25-0061,2025-05-19,6064.95,1152.34,7217.29
F25-0062,Logística Global Factura N°: F25-0062,2025-01-21,12360.0,2348.4,14708.4
F25-0063,Tech Solutions Factura N°: F25-0063,2025-05-17,9774.9,1857.23,11632.13
F25-0064,Tech Solutions Factura N°: F25-0064,2025-12-16,315.0,59.85,374.85
F25-0065,Logística Global Factura N°: F25-0065,2025-02-26,5835.0,1108.65,6943.65
F25-0066,Inversiones ABC Factura N°: F25-0066,2025-01-30,1825.98,346.94,2172.92
F25-0067,Tienda Don Pepe Factura N°: F25-0067,2025-07-11,38.97,7.4,46.37
F25-0068,Inversiones ABC Factura N°: F25-0068,2025-01-16,15090.0,2867.1,17957.1
F25-0069,Servicios Express Factura N°: F25-0069,2025-08-16,1556.43,295.72,1852.15
F25-0070,Servicios Express Factura N°: F25-0070,2025-10-17,282.0,53.58,335.58
F25-0071,Servicios Express Factura N°: F25-0071,2025-08-08,18643.92,3542.34,22186.26
F25-0072,Tienda Don Pepe Factura N°: F25-0072,2025-02-09,2527.5,480.23,3007.72
F25-0073,Servicios Express Factura N°: F25-0073,2025-11-15,1356.96,257.82,1614.78
F25-0074,Logística Global Factura N°: F25-0074,2025-12-18,21129.0,4014.51,25143.51
F25-0075,Servicios Express Factura N°: F25-0075,2025-06-11,345.0,65.55,410.55
F25-0076,Tienda Don Pepe Factura N°: F25-0076,2025-09-08,9210.0,1749.9,10959.9
F25-0077,Inversiones ABC Factura N°: F25-0077,2025-04-15,25.5,4.84,30.34
F25-0078,Inversiones ABC Factura N°: F25-0078,2025-05-02,1866.81,354.69,2221.5
F25-0079,Servicios Express Factura N°: F25-0079,2025-01-24,178.5,33.91,212.41
F25-0080,Servicios Express Factura N°: F25-0080,2025-08-01,1696.5,322.33,2018.84
F25-0081,Servicios Express Factura N°: F25-0081,2025-06-07,4609.38,875.78,5485.16
F25-0082,Logística Global Factura N°: F25-0082,2025-04-26,77.46,14.72,92.18
F25-0083,Inversiones ABC Factura N°: F25-0083,2025-03-01,525.0,99.75,624.75
F25-0084,Tienda Don Pepe Factura N°: F25-0084,2025-11-27,525.0,99.75,624.75
F25-0085,Inversiones ABC Factura N°: F25-0085,2025-06-17,2370.0,450.3,2820.3
F25-0086,Logística Global Factura N°: F25-0086,2025-03-01,540.0,102.6,642.6
F25-0087,Inversiones ABC Factura N°: F25-0087,2025-07-16,5475.0,1040.25,6515.25
F25-0088,Logística Global Factura N°: F25-0088,2025-08-03,3057.0,580.83,3637.83
F25-0089,Tienda Don Pepe Factura N°: F25-0089,2025-03-25,900.0,171.0,1071.0
F25-0090,Tech Solutions Factura N°: F25-0090,2025-04-13,1125.0,213.75,1338.75
F25-0091,Servicios Express Factura N°: F25-0091,2025-08-23,1477.5,280.73,1758.22
F25-0092,Tech Solutions Factura N°: F25-0092,2025-06-26,751.89,142.86,894.75
F25-0093,Logística Global Factura N°: F25-0093,2025-07-08,75.0,14.25,89.25
F25-0094,Tech Solutions Factura N°: F25-0094,2025-04-25,533.46,101.36,634.82
F25-0095,Inversiones ABC Factura N°: F25-0095,2025-04-19,633.0,120.27,753.27
F25-0096,Inversiones ABC Factura N°: F25-0096,2025-12-10,25.98,4.94,30.92
F25-0097,Logística Global Factura N°: F25-0097,2025-07-23,2215.41,420.93,2636.34
F25-0098,Tienda Don Pepe Factura N°: F25-0098,2025-08-20,3555.0,675.45,4230.45
F25-0099,Logística Global Factura N°: F25-0099,2025-06-07,20775.0,3947.25,24722.25
F25-0100,Inversiones ABC Factura N°: F25-0100,2025-12-10,1215.0,230.85,1445.85
F25-0101,Logística Global Factura N°: F25-0101,2025-09-25,953.97,181.25,1135.22
F25-0102,Logística Global Factura N°: F25-0102,2025-08-27,1380.42,262.28,1642.7
F25-0103,Logística Global Factura N°: F25-0103,2025-12-07,488.97,92.9,581.87
F25-0104,Tech Solutions Factura N°: F25-0104,2025-11-20,38.97,7.4,46.37
F25-0105,Inversiones ABC Factura N°: F25-0105,2025-02-24,2138.97,406.4,2545.37
F25-0106,Logística Global Factura N°: F25-0106,2025-04-12,22045.98,4188.74,26234.72
F25-0107,Tienda Don Pepe Factura N°: F25-0107,2025-06-21,9035.4,1716.73,10752.13
F25-0108,Tienda Don Pepe Factura N°: F25-0108,2025-06-17,718.5,136.52,855.01
F25-0109,Logística Global Factura N°: F25-0109,2025-05-10,180.0,34.2,214.2
F25-0110,Tienda Don Pepe Factura N°: F25-0110,2025-04-30,21600.0,4104.0,25704.0
F25-0111,Tech Solutions Factura N°: F25-0111,2025-04-11,1200.0,228.0,1428.0
F25-0112,Inversiones ABC Factura N°: F25-0112,2025-07-29,10281.96,1953.57,12235.53
F25-0113,Servicios Express Factura N°: F25-0113,2025-07-07,2236.5,424.94,2661.43
F25-0114,Tienda Don Pepe Factura N°: F25-0114,2025-03-21,364.5,69.25,433.75
F25-0115,Tienda Don Pepe Factura N°: F25-0115,2025-05-03,1961.91,372.76,2334.67
F25-0116,Servicios Express Factura N°: F25-0116,2025-06-28,7979.94,1516.19,9496.13
F25-0117,Servicios Express Factura N°: F25-0117,2025-03-30,20490.0,3893.1,24383.1
F25-0118,Inversiones ABC Factura N°: F25-0118,2025-05-20,9855.0,1872.45,11727.45
F25-0119,Tienda Don Pepe Factura N°: F25-0119,2025-06-25,616.5,117.14,733.63
F25-0120,Tech Solutions Factura N°: F25-0120,2025-10-10,569.85,108.27,678.12
F25-0121,Tienda Don Pepe Factura N°: F25-0121,2025-02-04,12.99,2.47,15.46
F25-0122,Tech Solutions Factura N°: F25-0122,2025-05-29,1170.0,222.3,1392.3
F25-0123,Tech Solutions Factura N°: F25-0123,2025-03-05,6762.99,1284.97,8047.96
F25-0124,Tech Solutions Factura N°: F25-0124,2025-12-14,1350.0,256.5,1606.5
F25-0125,Tienda Don Pepe Factura N°: F25-0125,2025-04-24,255.0,48.45,303.45
F25-0126,Inversiones ABC Factura N°: F25-0126,2025-06-12,31277.94,5942.81,37220.75
F25-0127,Logística Global Factura N°: F25-0127,2025-04-26,11604.9,2204.93,13809.83
F25-0128,Logística Global Factura N°: F25-0128,2025-08-14,4800.0,912.0,5712.0
F25-0129,Servicios Express Factura N°: F25-0129,2025-12-29,178.5,33.91,212.41
F25-0130,Tech Solutions Factura N°: F25-0130,2025-03-27,120.0,22.8,142.8
F25-0131,Tech Solutions Factura N°: F25-0131,2025-03-14,428.46,81.41,509.87
F25-0132,Inversiones ABC Factura N°: F25-0132,2025-06-17,6737.94,1280.21,8018.15
F25-0133,Tienda Don Pepe Factura N°: F25-0133,2025-03-13,150.0,28.5,178.5
F25-0134,Logística Global Factura N°: F25-0134,2025-06-19,90.93,17.28,108.21
F25-0135,Tech Solutions Factura N°: F25-0135,2025-07-13,2318.97,440.6,2759.57
F25-0136,Servicios Express Factura N°: F25-0136,2025-03-27,4646.91,882.91,5529.82
F25-0137,Servicios Express Factura N°: F25-0137,2025-06-09,90.0,17.1,107.1
F25-0138,Inversiones ABC Factura N°: F25-0138,2025-01-04,8511.96,1617.27,10129.23
F25-0139,Logística Global Factura N°: F25-0139,2025-04-13,924.9,175.73,1100.63
F25-0140,Logística Global Factura N°: F25-0140,2025-10-29,961.5,182.69,1144.18
F25-0141,Inversiones ABC Factura N°: F25-0141,2025-12-03,3255.96,618.63,3874.59
F25-0142,Servicios Express Factura N°: F25-0142,2025-09-24,456.96,86.82,543.78
F25-0143,Servicios Express Factura N°: F25-0143,2025-11-12,1744.5,331.45,2075.95
F25-0144,Inversiones ABC Factura N°: F25-0144,2025-06-07,6375.0,1211.25,7586.25
F25-0145,Servicios Express Factura N°: F25-0145,2025-02-28,6186.0,1175.34,7361.34
F25-0146,Servicios Express Factura N°: F25-0146,2025-08-23,3600.0,684.0,4284.0
F25-0147,Tienda Don Pepe Factura N°: F25-0147,2025-05-02,726.96,138.12,865.08
F25-0148,Inversiones ABC Factura N°: F25-0148,2025-07-19,951.0,180.69,1131.69
F25-0149,Tech Solutions Factura N°: F25-0149,2025-03-26,153.0,29.07,182.07
F25-0150,Tienda Don Pepe Factura N°: F25-0150,2025-05-06,1009.95,191.89,1201.84
F25-0151,Servicios Express Factura N°: F25-0151,2025-07-16,1223.82,232.53,1456.35
F25-0152,Tech Solutions Factura N°: F25-0152,2025-03-03,45.0,8.55,53.55
F25-0153,Logística Global Factura N°: F25-0153,2025-07-10,1260.0,239.4,1499.4
